gender,ethnicity,parental education,free lunch,test prep,score
1,1,3,0,0,92
1,2,5,0,0,60.33333333
1,4,0,0,0,74.33333333
1,2,0,0,0,65.33333333
0,1,5,0,1,57.66666667
1,2,0,1,1,70
0,2,4,1,1,47.66666667
0,3,5,0,1,83
0,2,2,0,1,46.33333333
0,1,1,0,1,68.33333333
0,2,5,0,1,64
1,2,5,1,1,54.33333333
1,2,5,0,1,64.66666667
1,2,0,0,0,86
1,0,3,0,0,73.66666667
1,1,3,0,0,90.66666667
0,4,2,1,1,49.66666667
1,1,5,0,1,82.33333333
0,1,3,1,1,54.33333333
0,3,1,0,1,94
0,2,2,0,1,81.66666667
0,2,1,0,1,72.33333333
0,4,2,0,0,83.33333333
0,2,2,0,1,26
0,3,2,0,0,77.66666667
1,4,3,0,1,87.66666667
1,0,3,1,1,67.33333333
0,3,4,0,1,79.33333333
1,3,4,0,0,94
0,3,2,0,1,49.66666667
0,3,1,0,0,65.33333333
1,2,2,0,1,74.33333333
1,0,1,0,1,75.33333333
0,0,1,1,0,69.66666667
0,3,2,0,1,79
1,1,1,0,1,89.66666667
0,2,0,0,1,75
0,2,0,0,1,70.66666667
1,0,5,0,0,79.66666667
0,4,5,0,1,71.33333333
0,3,5,0,1,50
